,image,complex,frog_eye_leaf_spot,healthy,powdery_mildew,rust,scab,labels
1848,8ed6fe1f030281d7.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17376,f8fa7ba42d28a868.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
2324,92b6b30105057eff.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1900,8f512dd7711c8aa9.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6020,ac7192cb8ba5e1cc.jpg,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
17638,fad4d0ffda104b20.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5190,a898958f5afee824.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15742,efb5bd90ca2a0e0c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13868,e0ee44c7173a3d32.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
15622,ee939088387dbca5.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1419,8aba6e9603cf27c2.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
637,84947bc7e9688d96.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17518,fa1880388f7b9d2b.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16530,f487abd95c605568.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
4452,a4435afc74563635.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12166,d4df2f93901b1f20.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4443,a434a8d88f3f1979.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11247,ced69460342f671e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4450,a43ffa71d8c49944.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3132,985192f2f89e0dad.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
11800,d258959b78e324e3.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
1061,879a39ee6e294f10.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
11301,cf61b53c018e70db.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
16781,f56ccb8641ce1665.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
11868,d2b6bab1158a8d8d.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
6278,ada5223927ab817b.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8165,b9dd8aa81d2c3437.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
15003,e9b616d9fc0a300f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14977,e98bc3aa3034b8fa.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3562,9d788a91891b8f79.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17234,f88b97d202faa790.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14764,e87581c9c9a9cdc5.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
1755,8ddaac1bd6c8cd0a.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3251,999e3ec01a2f7315.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
1950,8fc7d83ce185c235.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
16395,f381130bc85faf86.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5507,a9eafde4ca80c247.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2532,949ccfb0b2f3540b.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
16084,f0fbf9cf0180b894.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15818,f02dccd23f4510de.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14282,e3ebf7818e82081f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5135,a869d4359a3651d7.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14290,e3f4c72c5c462339.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
329,81ebc695c197b469.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1897,8f456733d83cc836.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
362,821f2e1fbf286827.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
6294,adad954ada673034.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
6864,b0e3430b5838feb6.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15172,eaad950b6c642733.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
18545,ffa4c0969e7203d1.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6260,ad99be641e82a96c.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3970,a0b01bcf6c3c9df0.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
13394,de4527f46f18388c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14986,e996c0951aa9d5ae.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
18538,ffa09422ca21edab.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14558,e5daa550d94a46dc.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
7226,b45ad496551a9679.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4239,a1e17ad35814fe15.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14617,e6a21cb69da821bb.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
18556,ffb0c058b16eb832.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
11419,d007233d89f3eaf0.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7798,b6af86108dda964b.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7130,b3b131c9e0279cd6.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
16744,f53481fafde20107.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
610,846b3e706ba6698e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1310,89cf47e1ba7046a9.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
421,82c9deec3e39d8c0.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
1368,8a7513a0bbe451f5.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14379,e4e81a68cb56e3b4.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
15314,eba9a8c8572a5ea1.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
6002,ac4bc4a9ff38d144.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1408,8ab3ca425a7ca5ad.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
7350,b4b1f967c1158b91.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
4243,a1e31837c89aceb9.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5619,aa85c07ac7f14dc3.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
7106,b30e2de495f9501b.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
7954,b7d46cc1bd284b13.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
12021,d407669e43f03373.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
13042,db68629d1e14713e.jpg,1,0,0,0,1,0,"[1, 0, 0, 0, 1, 0]"
3567,9d88c1ff223171f1.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5850,ab60d2ca0eec6cae.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13328,ddc46be69706d228.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
9042,c038635873d475cf.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5632,aa8cc1de8aaf9ca4.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15836,f04b0394ff5f414a.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17064,f731cde09829c6e8.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9514,c1e827c06f84fcce.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
7126,b39f8081dee76306.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
7633,b5b8864cb0a7eb25.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5390,a96d9404de7f5921.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
3081,97c238b84983b5be.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
8826,beed80848d970e8f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7570,b591e2bbc1e1cf01.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
2361,92e2b7924a79564b.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4794,a5a58b51c9fade80.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
12312,d5b0210e2a6a7afe.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
12228,d53c876e954300fe.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2781,95b67eca9af82061.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
12776,d90fc693d22589f2.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15885,f07ecb2512a69b46.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12387,d5f64bea0ca5a84a.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
7641,b5c0c04f4bbd34f8.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8273,bac14e6fb04a91d3.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
14901,e8f0dfe08ac510ee.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14321,e4788fd45aad16a8.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
16429,f403cb7e3c3589c1.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13887,e0fa85a8d5c82ff0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6752,b06a8f95e3599174.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16056,f0ead8202af4f31e.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8005,b86b027cc71ace39.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
5654,aa9d9ac1dc412b6d.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
12292,d59c29d981bd04ed.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2711,957e6b8d31c42e58.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5838,ab46cb94089bb43f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
9148,c09ff891e781fa22.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
14663,e7857fea4a5480b8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13653,e02b80b5cfc29e4f.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9705,c332cb3a8f720d27.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
9143,c09e3cd93261f917.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11858,d2aa665f0442bd6b.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
7826,b6d2c384f10d2f96.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8917,bf93801bb0aad24f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4431,a41ac6e329f6565a.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
3493,9ca496ca2f4aa5e5.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
11402,cfe1c6c3e882703e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17514,fa11c22147def38a.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
5475,a9d2492b6deb20bc.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2968,96cccdd84fd54542.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10479,c8966548df21573d.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
18007,fcf485f4d0a00bc7.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
11417,cfffc1e2d81d4840.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
4282,a22d322b3df799c0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
